#OTU ID;Kingdom;Phylum;Class;Order;Family;Genus;Species
409aec4cbb8134cce9c483c6a0b75ae5;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__unidentified;g__unidentified;s__unidentified
168392680a97331ec6a600e6c44c5c34;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;
e328b6ad1a1ff364915e8f23e0a1d7f0;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;
d59c23afacfd49c3c718d194d35b61ed;k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Scytalidium;s__Scytalidium_lignicola
85b1b85f59c9b9507b3c9a95f88a792e;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Coprinus;s__Coprinus_cordisporus
78403526292fa8aee94f04e057a71cfb;k__Viridiplantae;p__Chlorophyta;;;;;
591ac85a0fce86c3d9a61d15c05990f3;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Fusariella;s__unidentified
c1053088b20c34be89da30158c1f2ac2;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium;s__Schizothecium_glutinans
a2b71bca7ccab6bd6c73316cfa438033;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unidentified;g__unidentified;s__unidentified
598411b26df869371fc873a1037a184c;k__Fungi;p__Ascomycota;;;;;
59ecdb48e93bd7a0a3f503003517c17c;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Knufia;
6977f8c1701dfe7caa914f5aac68aeaa;k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_zonata
f382c7133326473b4080891a0d07a512;Unassigned;;;;;;
eed2703f09a3da0bfa0ad3f2cbb8a3bc;k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;;;
76e0f9c45c90e237d68db49339ed375a;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Trichocladium;s__Trichocladium_pyriforme
edd1d8c07cc3fa3c6c9a94f247c973df;k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__unidentified;s__unidentified
4d458cf9a253c9f578aac718579105a9;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces;s__Talaromyces_cecidicola
3a29b19d355383857c7845d45754dac3;Unassigned;;;;;;
6b35d27d423ebd58d4e7f053e11cce00;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Stemphylium;
b3a5e83c73fc303b03aa4b8724b9bc42;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Microascus;s__Microascus_longirostris
f8bc0dab487c3cd1b9ca379f11aa04fd;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_lanuginosum
e831ab50e743fed682065242cba4d4c7;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unidentified;g__unidentified;s__unidentified
ba3900c01ce550e957949243db6fcfd2;k__Fungi;p__Monoblepharomycota;c__Monoblepharidomycetes;o__Harpochytriales;f__Harpochytriaceae;g__Harpochytrium;s__unidentified
58ee5b39a63a485af4920c136e7cf977;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;;;
db3f0467049d335a75f015fbdbca62a7;k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Glarea;s__Glarea_lozoyensis
20df0d13fe7256361adf8a37d5c478ed;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;
b17eae5b9e3e00ff44c7f28ea73c0c04;Unassigned;;;;;;
8dea658d66ae0850f92c7c6cec8ae46c;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__unidentified;g__unidentified;s__unidentified
d0e10d5c3cb02b4b28ed1b15357f3c71;k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Peltigerales;f__Pannariaceae;g__Pectenia;s__Pectenia_plumbea
